"BirdID","StartTown","Year","EndTown","Disperser","Developed","Agriculture","Wetland","Grassland","Road_KM","X","Y","Ag_Indx","Connectance","Edg_Dns","Sex","Age","Flock.Size"
694,"Lincoln",2020,"Burlington",1,0.065736514854561,0.030778156965403,0.099333452114999,0.019603543348455,279.223070336115,542614.567811677,5022522.40149793,89.641570279562,29.6028476721593,68.9177180905777,"M","A",22
701,"Albion",2019,"Burnham",1,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",33
704,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",NA
709,"Albion",2019,"Albion",0,0.045995346705679,0.182051327246448,0.148614587372651,0.017097331406211,493.569498775023,464933.469719408,4929393.2258938,89.3740835826517,26.5319534744325,70.8767047689499,"M","J",NA
724,"Guilford",2020,"Abbot",1,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","A",7
728,"Guilford",2020,"Guilford",0,0.054991721048018,0.036437128664654,0.082370702249927,0.016187786110841,460.984918208274,472465.854487652,5006479.77830752,90.3789124773288,35.9715527081726,63.8276471828815,"M","A",7
750,"Strong",2020,"Strong",0,0.04966541321768,0.037807705707798,0.079952425003304,0.010512152047767,372.161710867668,404714.289031758,4960785.47819965,90.9677065849731,40.2929848103817,59.2931402914836,"M","J",14
752,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
754,"Bangor",2019,"Bangor",0,0.47612859999797,0.088389657587786,0.071385789842346,0.00704518460617,723.456577210284,516521.522592938,4964371.1956643,92.1459818701899,34.3511920361913,52.0497264100535,"F","A",30
784,"Unity",2020,"Benton",1,0.039468151312802,0.110406539619531,0.243108001278321,0.02057087110827,410.172965377657,472790.264410473,4937519.27446845,90.5060844948597,27.4312374561862,63.5116736422772,"M","J",30
826,"Greenfield Twp",2020,"Great Pond",1,0.030066671578017,0.004125534109327,0.173226388684249,0.012229261824075,81.9483145796775,543384.491115653,4986684.91343544,90.0305477809446,38.1610888341813,66.1838682764036,"F","A",6
833,"Exeter",2019,"Exeter",0,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"F","A",50
836,"Exeter",2019,"Exeter",0,0.040574642200512,0.160586178304914,0.158089693211724,0.006660297775695,385.081241328868,489314.079720332,4979003.77758485,88.6134914289139,27.081636230021,75.6907304365572,"F","A",50
